容量C=1000000
n        DP_value     DP_ms      GR_value     GR_ms      BT_value     BT_ms     
1000     561622.07    3066.11    561622.07    0.12       561622.07    0.84      
2000     1092853.52   6321.90    1092853.52   0.26       1092853.52   3.18      
3000     1657651.09   7421.59    1657651.09   0.37       1657651.09   7.22      
4000     2221220.55   9407.36    2221220.55   0.49       2221220.55   14.35     
5000     2722135.15   11334.80   2722135.15   0.62       2722135.15   20.04     
6000     3280517.46   13791.36   3280517.46   0.85       3280517.46   25.09     
7000     3838741.91   15756.17   3838741.91   0.91       3838741.91   37.88     
8000     4414374.40   18053.48   4414374.40   1.02       4414374.40   44.68     
9000     4944692.00   21473.48   4944692.00   1.34       4944692.00   64.43     
10000    5491335.16   22819.78   5491335.16   1.36       5491335.16   73.10     
20000    11018399.47  44342.57   11018304.26  2.88       -1.00        -1.00     
40000    17037983.27  87523.73   17037892.09  6.83       -1.00        -1.00     
80000    -1.00        -1.00      24082579.63  15.56      -1.00        -1.00     
160000   -1.00        -1.00      33817530.65  29.27      -1.00        -1.00     
320000   -1.00        -1.00      47861052.27  69.22      -1.00        -1.00     
