0-1背包问题实验结果
算法: DP=动态规划, GR=贪心法, BT=回溯法
n        C        DP_value     DP_ms      GR_value     GR_ms      BT_value     BT_ms     
-------- -------- ------------ ---------- ------------ ---------- ------------ ----------
1000     10000    263098.69    9.71       263068.44    0.09       263098.69    -269.71   
1000     100000   561622.07    101.17     561622.07    0.13       561622.07    0.53      
1000     1000000  561622.07    819.81     561622.07    0.12       561622.07    0.53      

2000     10000    387206.61    14.94      387088.40    0.19       387204.24    -342.61   
2000     100000   1092853.52   112.02     1092853.52   0.17       1092853.52   1.25      
2000     1000000  1092853.52   1830.22    1092853.52   0.23       1092853.52   1.51      

3000     10000    464863.77    23.38      464851.01    0.31       464851.01    -367.69   
3000     100000   1465328.25   165.01     1465306.01   0.27       1465321.11   -650.96   
3000     1000000  1657651.09   2703.30    1657651.09   0.41       1657651.09   4.04      

4000     10000    548366.66    30.92      548307.22    0.41       548366.66    -416.28   
4000     100000   1731863.61   210.70     1731783.93   0.53       1731857.89   -1296.06  
4000     1000000  2221220.55   3706.70    2221220.55   0.40       2221220.55   6.64      

5000     10000    580912.47    34.25      580897.41    0.77       580906.11    -406.63   
5000     100000   1893615.23   329.46     1893529.73   0.47       1893614.39   -2005.46  
5000     1000000  2722135.15   4869.58    2722135.15   0.57       2722135.15   8.74      

6000     10000    659527.73    50.11      659496.48    0.65       659525.20    -423.39   
6000     100000   2090520.49   347.48     2090436.28   0.59       2090514.97   -2571.19  
6000     1000000  3280517.46   5062.73    3280517.46   0.95       3280517.46   14.01     

7000     10000    675548.46    48.99      675482.91    1.08       675548.46    -459.58   
7000     100000   2241322.19   389.48     2241316.34   1.03       2241320.58   -2901.49  
7000     1000000  3838741.91   5985.33    3838741.91   0.73       3838741.91   21.35     

8000     10000    745349.52    51.93      745338.89    0.97       745338.89    -454.82   
8000     100000   2434230.18   458.08     2434182.66   0.82       2434227.25   -3170.29  
8000     1000000  4414374.40   6969.03    4414374.40   0.84       4414374.40   22.02     

9000     10000    808549.23    65.15      808466.64    1.74       808549.23    -470.90   
9000     100000   2562808.78   490.08     2562795.20   0.93       2562806.44   -3349.83  
9000     1000000  4944692.00   7645.04    4944692.00   1.48       4944692.00   29.51     

10000    10000    825457.07    73.91      825457.07    1.34       825457.07    -475.49   
10000    100000   2692433.64   553.38     2692416.13   1.02       2692430.71   -3377.69  
10000    1000000  5491335.16   8265.74    5491335.16   1.02       5491335.16   36.06     

20000    10000    1168766.29   97.68      1168705.20   3.15       -1.00        -1.00     
20000    100000   3816715.85   1079.32    3816678.20   2.10       -1.00        -1.00     
20000    1000000  11018399.47  17771.61   11018304.26  2.23       -1.00        -1.00     

40000    10000    1579558.53   194.78     1579473.67   6.92       -1.00        -1.00     
40000    100000   5285106.28   2062.10    5285078.59   6.37       -1.00        -1.00     
40000    1000000  17037983.27  44009.27   17037892.09  13.81      -1.00        -1.00     

80000    10000    2247680.16   643.46     2247680.16   12.08      -1.00        -1.00     
80000    100000   7491217.31   6891.12    7491141.10   18.41      -1.00        -1.00     
80000    1000000  -1.00        -1.00      24082579.63  13.55      -1.00        -1.00     

160000   10000    2998456.18   1294.39    2998455.51   36.78      -1.00        -1.00     
160000   100000   10391476.17  8139.72    10391475.74  24.26      -1.00        -1.00     
160000   1000000  -1.00        -1.00      33817530.65  31.12      -1.00        -1.00     

320000   10000    4056630.76   1522.32    4056630.76   53.15      -1.00        -1.00     
320000   100000   14565778.20  15349.99   14565778.20  54.27      -1.00        -1.00     
320000   1000000  -1.00        -1.00      47861052.27  53.48      -1.00        -1.00     


总耗时: 175.24 秒
